,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
332,2,1,55.82,0,1,35830,2014,1,591,22.781173674833422,3
333,1,1,58.01,1,1,32064,2010,2,791,30.094131165811934,3
334,3,0,100.73,2,1,39611,2015,1,233,24.426459086075937,3
335,2,0,100.54,0,1,28646,2009,1,533,31.608618574620767,3
336,3,0,87.86,2,1,26634,2010,1,259,34.722857962977386,3
337,2,2,78.23,0,1,36815,2015,1,711,22.484273040129636,3
338,3,1,94.96,2,1,43703,2016,1,994,23.60809271543128,3
339,2,2,67.87,2,0,20923,1994,1,444,35.691893876965366,3
340,3,0,88.27,2,1,44750,2011,1,233,24.426459086075937,3
341,2,1,86.6,2,1,23557,2010,1,259,34.722857962977386,3
342,2,0,94.26,2,0,27053,2004,1,399,28.772823020922093,3
343,3,2,100.18,2,1,22460,2016,2,571,39.92423564699592,3
344,3,2,125.73,1,1,42870,2014,1,579,28.230954912374106,3
345,2,1,87.15,1,1,39358,2013,1,690,21.888437602551775,3
346,3,0,121.25,2,1,47753,2015,1,950,23.360017276405046,3
347,1,1,51.06,2,0,30161,2004,2,578,29.462377155650195,3
348,3,0,119.61,1,1,45900,2013,1,813,23.350113217975586,3
349,2,1,80.8,2,1,41956,2016,1,994,23.60809271543128,3
350,3,1,88.08,2,1,43370,2011,1,233,24.426459086075937,3
351,2,2,69.74,1,1,44738,2014,1,338,22.467935635847684,3
352,1,1,64.86,0,1,26365,2006,1,120,30.00327153052376,3
353,2,2,85.83,2,1,37050,2011,1,792,28.43607047244219,3
354,2,2,83.08,0,1,27083,2006,1,120,30.00327153052376,3
355,2,0,83.87,1,1,30882,2009,2,791,30.094131165811934,3
356,2,0,68.24,2,1,32972,2016,1,750,25.86015720029935,3
357,2,0,74.84,1,1,41289,2014,1,338,22.467935635847684,3
358,3,1,103.77,2,1,47124,2015,1,950,23.360017276405046,3
359,2,2,57.4,2,0,91987,1988,4,431,8.196208986290204,3
360,4,1,287.77,2,1,114675,2014,1,686,18.895061009176498,3
361,3,1,130.9,2,0,88618,1998,1,413,15.013671307773873,3
362,3,2,56.9,2,0,94728,1982,4,431,8.196208986290204,3
363,2,1,57.15,2,0,99738,1979,2,665,6.134769369582114,3
364,3,2,90.8,0,1,127754,1992,2,390,9.685245430464906,3
365,3,0,70.3,0,1,101707,1985,3,377,7.871698433842623,3
366,3,1,126.65,0,1,60719,2001,1,477,17.42151832560887,3
367,4,2,153.17,2,0,62611,2001,2,474,16.04658419368143,3
368,5,2,248.4,0,1,112722,2002,2,346,9.894867321900577,3
369,4,1,164.46,2,0,76615,2003,1,516,17.258459137174896,3
370,2,1,114.52,2,1,80161,2004,1,303,12.819236324697394,3
371,3,0,122.11,2,0,99910,2002,1,450,16.40265823210178,3
372,3,1,139.86,2,0,92093,2003,1,516,17.258459137174896,3
373,3,1,171.16,2,1,112176,2003,1,492,11.694776870572813,3
374,3,1,85.7,0,1,137690,1997,2,559,5.603914049365612,3
375,1,1,46.3,2,0,77322,1995,1,756,17.59049252125483,3
376,2,1,55.4,2,0,107401,1991,2,751,10.332666949751879,3
377,3,0,102.6,0,1,78461,1995,1,402,17.050216509747038,3
378,2,1,84.04,1,1,102333,2006,1,443,7.81421048122868,3
379,2,0,60.6,2,0,97360,1997,1,864,12.215658353795266,3
